"Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"00BKGG",9.8,2.9,11.1,0.5
"00BKGH",3.9,0.4,5.7,0.9
"00BKGJ",10.5,3.4,7.1,0.4
"00BKGK",18.5,3.7,11.5,0.6
"00BKGL",24.5,4.6,13.2,0.5
"00BKGM",9.9,1.3,5.8,0.5
"00BKGN",55.4,13.7,22.6,0.4
"00BKGP",19.1,2.2,13,0.6
"00BKGQ",28,6.1,10.7,0.4
"00BKGR",29.3,2.7,12.5,0.4
"00BKGS",34.5,4.3,11.7,0.4
"00BKGT",28.2,4,9.4,0.5
"00BKGU",48.5,10,22.4,0.4
