X,Wardname,Wardname_rn,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardname_rn
97,Bexley - Colyers,Colyers,11128,85.7,78.2,80.2,22.18727534,14.5,17.7,12.3,2,Colyers
98,Harrow - Headstone South,Headstone South,11135,73,80,89.5,20.36820835,12,56.5,44.2,15.9,Headstone South
99,Harrow - Kenton East,Kenton East,11138,60.4,78.2,85.9,18.73765488,12.4,73.4,57.1,24.7,Kenton East
100,Harrow - Kenton West,Kenton West,11173,64.8,82,86.6,17.9092455,14.3,72.6,51.3,20.4,Kenton West
101,Merton - Wimbledon Park,Wimbledon Park,11197,81.1,84.7,86.1,21.20210771,8.2,20.4,32.9,8.4,Wimbledon Park
102,Bexley - Cray Meadows,Cray Meadows,11207,61.7,76.9,79.5,20.51396449,17.6,11,9.9,2.3,Cray Meadows
103,Bexley - Crayford,Crayford,11226,64.2,77.4,87.5,21.69071798,14.6,11.7,10,1.9,Crayford
104,Harrow - Stanmore Park,Stanmore Park,11229,67.4,80.2,81.1,17.34793837,22.4,43.3,34.5,8.8,Stanmore Park
105,Merton - Figge's Marsh,Figge's Marsh,11240,114.6,75.9,80.2,23.113879,9.3,57.4,44.9,16.3,Figge's Marsh
106,Westminster - Abbey Road,Abbey Road,11250,68.5,81.5,85.1,17.45777778,14,35.4,56.9,20.4,Abbey Road
107,Camden - Gospel Oak,Gospel Oak,11264,53.7,74.9,82.5,19.60227273,12.2,30.1,34.9,10.4,Gospel Oak
108,Camden - Hampstead Town,Hampstead Town,11270,57.5,82.7,86.6,17.49778172,15.9,20,40.9,10.4,Hampstead Town
109,Waltham Forest - Larkswood,Larkswood,11337,71.4,77.5,83.6,19.97883038,15.3,31.2,21.8,6.3,Larkswood
110,Harrow - Belmont,Belmont,11343,81.1,82.1,85.5,21.2465838,13,58.7,41.6,13.2,Belmont
111,Hounslow - Chiswick Homefields,Chiswick Homefields,11346,52.3,78.7,83.6,18.33245197,11.3,18.8,34,9.8,Chiswick Homefields
112,Bexley - Lesnes Abbey,Lesnes Abbey,11346,75.5,79.6,84.3,20.92367354,15.6,31,23.3,5,Lesnes Abbey
