,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
100,Harrow - Kenton West,11173,64.8,82.0,86.6,17.9092455025508,14.3,72.6,51.3,20.4
101,Merton - Wimbledon Park,11197,81.1,84.7,86.1,21.2021077074216,8.2,20.4,32.9,8.4
102,Bexley - Cray Meadows,11207,61.7,76.9,79.5,20.5139644864817,17.6,11.0,9.9,2.3
103,Bexley - Crayford,11226,64.2,77.4,87.5,21.6907179761268,14.6,11.7,10.0,1.9
104,Harrow - Stanmore Park,11229,67.4,80.2,81.1,17.3479383738534,22.4,43.3,34.5,8.8
105,Merton - Figge's Marsh,11240,114.6,75.9,80.2,23.113879003558697,9.3,57.4,44.9,16.3
106,Westminster - Abbey Road,11250,68.5,81.5,85.1,17.4577777777778,14.0,35.4,56.9,20.4
107,Camden - Gospel Oak,11264,53.7,74.9,82.5,19.602272727272698,12.2,30.1,34.9,10.4
108,Camden - Hampstead Town,11270,57.5,82.7,86.6,17.4977817213842,15.9,20.0,40.9,10.4
109,Waltham Forest - Larkswood,11337,71.4,77.5,83.6,19.978830378407,15.3,31.2,21.8,6.3
110,Harrow - Belmont,11343,81.1,82.1,85.5,21.246583796173898,13.0,58.7,41.6,13.2
111,Hounslow - Chiswick Homefields,11346,52.3,78.7,83.6,18.3324519654504,11.3,18.8,34.0,9.8
112,Bexley - Lesnes Abbey,11346,75.5,79.6,84.3,20.9236735413362,15.6,31.0,23.3,5.0
113,Harrow - Harrow Weald,11376,65.1,80.6,85.7,19.743319268635698,17.1,48.3,36.7,10.5
114,Harrow - Wealdstone,11394,94.0,75.5,81.4,23.424609443566798,11.0,62.6,46.9,18.3
115,Hounslow - Hanworth Park,11408,72.7,77.7,82.4,20.468092566619898,12.0,30.8,28.5,10.9
116,Hounslow - Hounslow South,11409,60.7,83.6,88.7,19.3110098176718,12.5,45.1,38.7,13.2
117,Richmond upon Thames - Kew,11436,66.7,79.0,88.4,20.1556488282616,13.9,15.3,30.2,7.6
118,Hillingdon - Manor,11442,53.6,80.0,83.1,20.241216570529602,15.7,16.0,16.2,3.6
119,Waltham Forest - Valley,11444,75.2,77.5,80.9,21.1464522894093,13.4,38.4,25.6,7.9
120,Hounslow - Turnham Green,11448,52.2,77.9,83.8,14.9807826694619,12.9,23.2,39.9,12.8
121,Merton - Cricket Green,11474,120.0,78.5,87.0,23.3135785253617,10.8,47.5,39.5,14.5
122,Croydon - Fieldway,11479,78.1,75.4,78.6,31.1089816186079,10.1,34.4,19.3,4.1
123,Islington - Clerkenwell,11490,29.2,77.6,84.9,12.236727589208,8.2,29.3,38.5,12.6
124,Redbridge - Church End,11516,67.5,81.4,84.6,18.2354984369573,11.9,26.5,22.1,5.8
125,Hounslow - Chiswick Riverside,11543,76.7,85.4,82.2,18.7559559906437,11.8,19.1,30.3,8.9
126,Redbridge - Wanstead,11543,70.2,79.9,84.3,19.3797106471455,14.5,30.0,22.8,5.7
127,Southwark - East Walworth,11557,58.2,74.5,81.9,18.499610625594897,8.3,51.8,43.8,13.7
128,Hounslow - Feltham North,11563,84.3,73.5,77.3,19.9688662111909,13.6,38.9,35.7,14.1
129,Bexley - North End,11566,89.6,74.0,79.0,26.8026975618191,10.6,27.0,18.8,3.3
130,Hillingdon - Northwood Hills,11578,76.7,78.9,86.0,18.863361547763,17.5,33.3,27.9,7.1
131,Sutton - Wandle Valley,11630,79.3,77.3,84.6,24.067067927773,9.0,24.8,19.8,5.7
132,Haringey - Highgate,11632,50.0,79.5,85.4,15.362792297111401,11.7,18.9,31.5,8.2
133,Islington - Highbury East,11634,64.2,76.7,80.5,17.0190820010315,9.7,23.5,30.9,9.3
134,Harrow - Edgware,11653,91.0,79.6,83.9,20.2866214708659,11.4,65.3,56.5,24.8
135,Sutton - Worcester Park,11655,83.0,81.1,83.7,20.7893607893608,13.4,20.0,21.5,6.1
136,Redbridge - Bridge,11658,50.0,79.4,83.6,20.029164522216497,13.4,28.1,21.6,6.7
137,Hillingdon - Cavendish,11658,59.2,80.6,84.0,20.6210327671985,15.7,19.7,16.7,3.7
138,Harrow - Roxeth,11663,69.2,81.6,82.6,22.841464460258898,11.0,66.3,48.4,19.8
139,Hackney - Wick,11734,53.4,74.9,82.7,22.3197545594,7.9,51.6,35.1,10.9
140,Camden - Fortune Green,11740,52.6,80.7,84.8,15.0425894378194,9.7,29.0,43.4,16.1
141,Haringey - Stroud Green,11758,40.0,77.0,89.9,16.2782786188127,6.9,25.9,31.3,9.0
142,Westminster - Church Street,11760,54.3,73.4,76.4,23.163265306122398,11.4,61.7,52.7,27.2
143,Islington - Hillrise,11794,56.8,74.9,80.6,19.2470747837884,9.0,33.7,32.9,10.4
144,Haringey - Alexandra,11795,65.8,79.2,83.5,21.610852055955895,9.9,20.5,26.8,8.5
145,Southwark - College,11812,69.5,75.8,81.6,20.4029800203183,11.7,36.6,30.7,5.3
146,Camden - King's Cross,11843,34.1,76.9,81.5,14.506459511947998,7.2,49.2,50.9,22.4
147,Redbridge - Snaresbrook,11865,68.8,77.9,84.8,15.4150863885377,17.6,30.2,27.2,6.5
148,Bexley - Belvedere,11890,78.6,77.9,82.5,22.354920100925103,12.7,28.4,20.4,5.1
149,Camden - Cantelowes,11925,46.0,77.2,82.5,16.1844863731656,9.1,31.9,35.9,12.6
150,Hounslow - Isleworth,11977,89.7,74.9,82.9,21.3242047257243,9.8,34.8,33.8,11.7
151,Havering - Emerson Park,11977,52.2,78.7,81.3,16.3062536528346,21.3,17.7,11.4,1.7
152,Harrow - Queensbury,11984,68.8,77.7,85.2,21.1949265687583,11.6,75.0,57.5,26.2
153,Islington - Junction,12025,40.0,77.0,83.3,15.3929313929314,10.7,30.6,34.7,11.5
154,Westminster - Harrow Road,12034,77.5,77.1,92.1,18.8964600299152,8.5,49.0,48.2,17.9
155,Camden - Kilburn,12038,59.4,72.0,78.9,17.311845821565,11.2,40.1,47.9,18.7
