,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardcode,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold
495,Croydon - Upper Norwood,16082,82.2,78.1,82.8,20.992413878870803,11.0,51.3,33.9,9.0,00AHHB,85.7,19.5,20.6,7.7,16.6,0.9
496,Wandsworth - Roehampton,16132,48.3,74.1,81.2,18.4540044631788,10.5,34.5,38.6,15.5,00BJGL,84.7,70.6,46.0,8.3,18.2,0.6
497,Barnet - East Barnet,16137,65.8,80.5,84.5,20.7225630538514,13.7,23.4,23.4,7.2,00ACGC,59.0,34.9,9.8,4.3,17.1,1.2
498,Croydon - Bensham Manor,16201,90.1,80.9,84.3,23.060304919449397,9.8,73.5,45.3,12.9,00AHGG,68.8,7.7,11.9,8.5,17.9,0.8
499,Wandsworth - Tooting,16239,57.3,76.0,79.7,17.907506619865803,9.0,52.7,45.4,15.2,00BJGR,97.0,33.7,18.0,5.7,14.4,0.6
500,Wandsworth - Southfields,16256,70.0,78.9,89.8,18.503937007874,7.7,24.4,34.8,9.0,00BJGP,72.3,17.0,14.7,2.8,10.1,0.7
501,Newham - Forest Gate North,16257,69.6,74.2,79.8,21.2708371778311,6.9,64.1,50.5,21.0,00BBGK,90.8,13.8,28.9,8.7,17.8,0.6
502,Enfield - Haselbury,16263,83.4,81.0,83.4,25.4196642685851,9.3,54.3,46.0,22.1,00AKGU,72.3,27.0,19.5,11.0,27.2,0.8
503,Wandsworth - Queenstown,16331,42.0,76.9,84.6,14.1877411058723,7.8,35.7,42.4,15.4,00BJGK,83.2,38.5,30.7,4.6,11.9,0.5
504,Barnet - Brunswick Park,16394,55.2,83.8,83.2,20.6233988044406,14.4,31.6,30.9,10.2,00ACFX,55.9,28.0,9.0,4.0,17.4,1.3
505,Wandsworth - West Hill,16402,56.1,75.8,78.3,18.8452627728326,9.5,31.7,43.5,13.5,00BJGT,43.9,31.9,23.6,4.7,14.3,0.8
506,Newham - Plaistow South,16404,102.3,75.4,83.4,25.1097293343087,6.6,67.3,51.7,21.9,00BBGS,125.3,14.5,25.1,10.5,21.8,0.6
507,Lewisham - Telegraph Hill,16414,53.8,76.4,78.8,19.5321067381504,7.0,49.4,36.9,10.9,00AZGW,71.7,99.9,36.6,8.2,14.4,0.6
508,Enfield - Enfield Lock,16469,91.1,76.4,79.1,27.2876313073046,8.2,45.1,33.8,14.0,00AKGS,70.7,39.6,22.7,11.0,26.5,0.9
509,Croydon - Norbury,16476,73.7,81.5,82.8,21.018451080359302,13.4,62.3,43.6,13.0,00AHGS,77.4,16.1,13.8,6.6,16.2,1.0
510,Croydon - South Norwood,16518,75.6,75.6,84.4,21.297977963433798,9.9,52.3,32.1,8.2,00AHGZ,100.5,17.5,20.7,9.6,15.9,0.7
511,Greenwich - Greenwich West,16527,64.3,75.6,82.1,17.4320808374176,7.7,33.3,34.8,9.7,00ALGY,127.7,49.0,35.7,5.4,12.8,0.6
512,Enfield - Lower Edmonton,16531,111.2,75.7,79.8,27.451454842417302,9.2,58.9,46.1,19.5,00AKGY,71.9,40.6,27.4,11.5,28.5,0.7
513,Barnet - West Finchley,16533,64.6,79.9,81.6,17.5588217504385,12.5,39.2,44.7,19.0,00ACGR,76.1,13.4,7.2,3.3,12.2,0.9
514,Croydon - Thornton Heath,16539,87.1,75.6,82.8,25.0256968377774,9.1,67.1,37.6,9.4,00AHHA,95.9,11.2,19.7,11.3,18.7,0.7
515,Croydon - Fairfield,16569,74.2,79.2,80.9,17.587060172611498,11.7,48.7,42.3,13.7,00AHGM,261.1,17.5,15.5,4.2,12.3,0.6
516,Lewisham - Evelyn,16603,65.5,76.7,84.0,23.200626392820602,6.0,60.9,44.8,16.0,00AZGK,95.7,22.6,57.3,10.2,19.1,0.4
517,Newham - Little Ilford,16633,107.8,71.2,78.9,27.782119882162,6.7,82.0,54.5,27.3,00BBGP,85.2,48.6,30.1,12.0,23.2,0.6
518,Barnet - Edgware,16728,76.4,80.1,83.6,23.320181731229102,13.8,39.2,37.4,12.1,00ACGE,93.7,54.0,15.8,4.2,17.0,1.2
519,Greenwich - Plumstead,16736,106.6,74.0,83.3,23.3568355640535,8.6,55.4,41.7,14.6,00ALHC,98.1,41.0,27.3,11.0,21.6,0.7
520,Croydon - Woodside,16743,75.4,79.3,80.6,24.386310697007698,7.9,55.1,28.4,6.3,00AHHE,78.6,33.3,19.8,8.4,17.1,0.8
521,Redbridge - Newbury,16760,84.5,78.8,83.8,25.4474940334129,9.1,77.2,47.5,17.6,00BCGP,73.4,21.4,10.0,6.5,17.4,1.1
522,Bromley - Cray Valley West,16769,68.2,76.6,82.6,23.6269306458346,14.9,13.9,10.9,2.5,00AFGN,84.7,24.2,33.5,7.1,28.5,1.1
523,Lambeth - Coldharbour,16784,63.0,73.1,80.0,21.5622020972355,6.1,62.1,43.7,13.3,00AYGD,194.9,14.4,59.1,15.0,17.6,0.4
524,Bromley - Bromley Town,16826,73.4,78.0,81.1,19.3510043979555,13.9,18.5,19.9,4.9,00AFGG,155.7,18.0,10.0,3.3,13.1,1.0
525,Croydon - Addiscombe,16883,64.9,76.8,81.4,18.6815139489427,9.7,43.6,34.5,10.2,00AHGE,69.4,2.3,13.7,5.1,15.3,0.7
526,Brent - Stonebridge,16903,72.6,75.1,87.9,28.190262083653803,8.7,76.5,48.8,17.2,00AEHA,119.9,16.3,62.3,13.7,25.9,0.6
527,Brent - Kilburn,16989,81.4,76.2,84.2,18.600270763435198,8.6,50.0,48.1,18.4,00AEGT,123.3,11.2,45.0,13.3,17.1,0.4
528,Croydon - Waddon,17077,74.1,74.8,80.1,22.275575335246202,11.0,44.6,30.1,8.9,00AHHC,93.8,32.6,25.5,6.8,19.1,0.8
529,Barnet - Colindale,17098,68.6,76.4,84.6,22.2306702538309,8.4,59.9,52.7,23.2,00ACGA,68.8,20.8,34.3,4.8,18.0,0.8
530,Lewisham - Brockley,17156,53.0,75.0,80.1,15.248309629284199,6.5,43.1,36.8,10.5,00AZGF,118.9,13.5,30.1,8.4,11.8,0.5
531,Brent - Harlesden,17162,106.9,71.9,80.6,25.8652837664608,8.0,67.0,52.9,23.0,00AEGQ,189.6,8.9,44.0,23.4,24.1,0.5
532,Lambeth - Larkhall,17243,38.8,74.0,79.2,16.6560343327727,6.2,43.3,42.2,13.0,00AYGJ,113.7,20.0,41.4,7.3,13.9,0.4
533,Barnet - Coppetts,17250,72.5,76.7,81.1,19.7101449275362,10.3,35.0,36.1,13.6,00ACGB,85.4,40.3,13.4,4.9,15.0,1.0
534,Newham - Forest Gate South,17362,61.8,74.6,77.2,19.410206197442697,6.5,68.2,54.8,25.5,00BBGL,111.2,2.2,26.4,9.8,17.6,0.6
535,Enfield - Upper Edmonton,17374,88.4,75.4,76.7,25.8432139979279,9.2,58.0,48.4,22.7,00AKHG,125.1,17.6,29.8,11.7,28.3,0.8
536,Barnet - West Hendon,17402,85.8,78.2,84.3,19.8080680381565,11.4,50.6,53.6,24.7,00ACGS,120.5,32.0,16.8,5.0,17.8,0.9
537,Barnet - Hale,17437,90.5,81.2,83.8,23.1060388828354,13.4,40.6,35.7,11.7,00ACGJ,57.6,48.8,13.6,4.1,17.8,1.2
538,Lewisham - Lewisham Central,17446,67.4,71.4,77.6,18.3308494783905,8.4,51.6,41.2,12.4,00AZGQ,185.1,13.6,27.4,8.2,16.1,0.5
539,Croydon - West Thornton,17489,81.5,77.6,82.5,25.050031448339,9.5,76.5,46.5,15.1,00AHHD,112.2,17.7,15.7,7.9,17.9,0.8
540,Greenwich - Woolwich Common,17499,100.5,73.9,85.4,26.9101091490942,5.9,57.6,41.8,13.6,00ALHF,105.3,39.4,50.0,13.4,21.8,0.6
541,Barnet - Woodhouse,17575,57.8,78.6,81.1,18.7482219061166,13.6,37.6,41.0,16.2,00ACGT,92.8,19.3,11.5,4.5,15.7,1.0
542,Ealing - Greenford Broadway,17625,93.5,77.4,81.2,23.4439716312057,11.0,57.3,48.6,22.2,00AJGK,113.5,26.2,23.4,7.6,21.9,0.9
543,Enfield - Edmonton Green,17949,124.1,74.8,79.6,27.973703270377197,8.4,60.6,46.8,21.4,00AKGQ,147.7,33.2,43.1,19.6,30.5,0.6
544,Croydon - Selhurst,18087,77.3,73.9,78.9,24.5535467462819,8.7,65.6,40.1,11.5,00AHGW,140.2,18.3,27.1,9.9,18.9,0.6
545,Greenwich - Glyndon,18171,91.0,73.2,77.4,22.8606020582246,7.1,55.0,42.2,13.8,00ALGX,65.6,32.6,41.4,10.5,21.4,0.6
546,Barnet - Burnt Oak,18217,94.3,74.7,82.1,24.5814349234232,9.3,53.5,47.1,19.3,00ACFY,67.8,20.2,35.5,6.9,23.6,0.8
547,Barnet - Mill Hill,18451,63.8,80.7,86.6,22.8171914801366,13.1,36.1,34.4,10.2,00ACGM,82.4,59.0,12.8,3.8,14.0,1.3
548,Barnet - Hendon,18472,88.4,80.1,85.3,20.0844521437852,11.9,36.3,48.2,20.3,00ACGK,81.9,16.4,12.1,4.7,13.5,1.0
549,Croydon - Broad Green,18652,83.8,75.3,83.8,25.7613124597898,7.1,68.6,46.2,16.9,00AHGH,219.7,4.5,27.5,8.3,20.2,0.7
550,Ealing - East Acton,18706,62.3,80.1,85.6,19.250507858441104,8.2,50.1,54.4,22.4,00AJGH,144.3,19.6,22.1,7.8,15.0,0.7
551,Barnet - Golders Green,18818,98.7,78.3,84.2,27.186736103730503,12.0,34.2,45.8,17.5,00ACGH,83.3,14.6,13.3,4.5,16.4,1.0
552,Greenwich - Woolwich Riverside,19120,84.4,73.8,80.2,23.6297071129707,6.2,49.0,39.4,13.3,00ALHG,137.4,34.9,50.0,10.4,19.9,0.5
553,Greenwich - Thamesmead Moorings,19730,122.5,74.3,77.5,28.6467308667005,4.7,57.6,41.8,12.1,00ALHE,94.5,55.5,38.0,9.3,18.7,0.7
554,Barnet - Childs Hill,20049,69.0,77.4,82.0,19.173026086089102,12.4,38.9,51.2,23.0,00ACFZ,107.1,15.1,12.5,6.2,13.7,0.8
555,Tower Hamlets - Millwall,23084,58.1,83.6,95.0,15.5605614278288,3.5,47.6,52.1,23.4,00BGGG,86.5,35.0,20.6,5.1,11.4,0.5
