,Wardname,Population2011Census,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking,Wardcode,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold
150,Hillingdon - Cavendish,11658,59.2,80.6,84.0,20.6210327671985,15.7,19.7,16.7,3.7,00BCGA,62.8,36.0,13.8,4.5,19.9,1.1
151,Harrow - Roxeth,11663,69.2,81.6,82.6,22.841464460258898,11.0,66.3,48.4,19.8,00AQGR,64.1,18.4,9.5,5.2,17.3,1.2
152,Hackney - Wick,11734,53.4,74.9,82.7,22.3197545594,7.9,51.6,35.1,10.9,00AMGU,95.9,29.5,53.8,12.2,22.8,0.5
153,Camden - Fortune Green,11740,52.6,80.7,84.8,15.0425894378194,9.7,29.0,43.4,16.1,00AGGH,80.4,18.0,16.7,5.0,9.2,0.6
154,Haringey - Stroud Green,11758,40.0,77.0,89.9,16.2782786188127,6.9,25.9,31.3,9.0,00APGP,69.9,24.6,22.9,5.5,10.1,0.6
155,Westminster - Church Street,11760,54.3,73.4,76.4,23.163265306122398,11.4,61.7,52.7,27.2,00BKGE,111.0,7.6,55.8,12.4,28.1,0.3
156,Islington - Hillrise,11794,56.8,74.9,80.6,19.2470747837884,9.0,33.7,32.9,10.4,00AUGF,69.3,18.3,45.3,7.6,17.9,0.5
157,Haringey - Alexandra,11795,65.8,79.2,83.5,21.610852055955895,9.9,20.5,26.8,8.5,00APGA,101.8,52.3,9.0,3.4,8.0,1.0
158,Southwark - College,11812,69.5,75.8,81.6,20.4029800203183,11.7,36.6,30.7,5.3,00BEGG,92.9,43.7,27.2,5.8,13.6,0.8
159,Camden - King's Cross,11843,34.1,76.9,81.5,14.506459511947998,7.2,49.2,50.9,22.4,00AGGS,164.3,13.5,46.1,7.5,12.1,0.2
160,Redbridge - Snaresbrook,11865,68.8,77.9,84.8,15.4150863885377,17.6,30.2,27.2,6.5,00BCGS,67.8,10.6,11.8,2.8,14.9,1.0
